1. 613, 9, 821, 120
2. 635, 127, 314, 26
3. 1095, 127, 314, 26
4. 105, 117, 481, 123
5. 1480, 117, 481, 123
6. 129, 234, 100, 123
7. 225, 234, 337, 24
8. 563, 119, 76, 470
9. 1410, 119, 76, 470
10. 1654, 236, 263, 33
11. 105, 239, 26, 463
12. 128, 415, 51, 48
13. 415, 456, 147, 97
14. 818, 260, 97, 97
15. 1128, 260, 97, 97
16. 1484, 456, 147, 97
17. 1866, 352, 51, 48
18. 1918, 236, 26, 463
19. 128, 544, 97, 147
20. 225, 613, 97, 77
21. 982, 353, 89, 93
22. 1818, 499, 99, 194
23. 105, 690, 480, 121
24. 563, 616, 76, 29
25. 818, 492, 97, 97
26. 1128, 492, 97, 97
27. 1410, 616, 76, 29
28. 1459, 690, 480, 121
29. 618, 710, 336, 131
30. 1092, 710, 336, 131
31. 806, 827, 25, 253
32. 1212, 827, 25, 253
33. 806, 1076, 434, 108
