a. 720, 8, 603, 121
b. 482, 127, 265, 121
c. 359, 246, 146, 121
d. 359, 367, 26, 460
f. 359, 823, 147, 121
g. 482, 944, 265, 121
h. 723, 1064, 602, 120
i. 1801, 944, 265, 121
j. 1543, 824, 147, 121
k. 1663, 368, 26, 460
l. 1298, 127, 265, 121
1. 784, 127, 101, 67
2. 924, 127, 202, 18
4. 1147, 127, 151, 17
5. 505, 247, 144, 22
6. 1297, 249, 244, 22
7. 385, 368, 160, 148
8. 1565, 367, 99, 217
9. 384, 632, 99, 193
10. 1564, 749, 97, 74
11. 839, 867, 45, 114
12. 1183, 865, 45, 114
13. 913, 952, 45, 114
14. 1089, 954, 45, 114
